title,pack,artist,difficulty,level,constant,bpm,side,chart_designer,unlock,image,image_name
amygdata,Memory Archive,nitro,FUTURE,9+,9.7,154,1,Nitro,None,images/.webp,Amygdata
Altale,Memory Archive,Sakuzyo,FUTURE,9+,9.8,83-90,1,Kurorak,None,images/.webp,Altale
Altale,Memory Archive,Sakuzyo,BEYOND,10,10.0,83-90,0,nora::neko << fantasy,World Mode B2-2,images/.webp,Altale
Feels So Right feat. Renko,Memory Archive,Mysteka,FUTURE,9,9.3,180,0,Toaster,None,images/.webp,Feels_So_Right_feat._Renko
Scarlet Cage,Memory Archive,Daisuke Kurosawa,FUTURE,9+,9.8,166,1,赤Nitro,None,images/.webp,Scarlet_Cage
Teriqma,Memory Archive,owl＊tree,FUTURE,9,9.4,128,1,Nitro,None,images/.webp,Teriqma
Teriqma,Memory Archive,owl＊tree,BEYOND,9+,9.7,128,1,én 200716,World Mode L-30,images/.webp,Teriqma
MAHOROBA,Memory Archive,Zekk,FUTURE,9,9.5,195,0,TaroNuke + Nitro,None,images/.webp,MAHOROBA
BADTEK,Memory Archive,EBIMAYO,FUTURE,9+,9.7,190,1,BADTOAST ft. Kurorak,None,images/.webp,BADTEK
Malicious Mischance,Memory Archive,s-don,FUTURE,10,10.2,155,1,×NITRO×,None,images/.webp,Malicious_Mischance
BUCHiGiRE Berserker,Memory Archive,REDALiCE vs MASAKI,FUTURE,10+,10.8,200,1,東星 vs 夜浪《BERSERK》,None,images/.webp,BUCHiGiRE_Berserker
Galaxy Friends,Memory Archive,Kobaryo,FUTURE,9+,9.9,300,1,Nitrome X,None,images/.webp,Galaxy_Friends
Xeraphinite,Memory Archive,BlackY,FUTURE,9+,9.8,146,0,東星※空の宝石,None,images/.webp,Xeraphinite
Xanatos,Memory Archive,Tatsh,FUTURE,10,10.0,170,1,XERiNG × eXschwasion × NitromeX,None,images/.webp,Xanatos
AttraqtiA,Memory Archive,かめりあ,FUTURE,10,10.6,202,0,Toaster affected by 'CHUNITHM',None,images/.webp,AttraqtiA
GIMME DA BLOOD,Memory Archive,C-Show,FUTURE,10,10.5,87-110,1,夜浪,None,images/.webp,GIMME_DA_BLOOD
Can I Friend You on Bassbook? Lol,Memory Archive,かめりあ feat. ななひら,FUTURE,9,9.3,128,0,トースト食べる？笑,None,images/.webp,Bassbook
THE ULTIMACY,Memory Archive,Massive New Krew vs aran,FUTURE,9+,9.8,200,1,東星 vs Toaster,None,images/.webp,THE_ULTIMACY
REKKA RESONANCE,Memory Archive,REDALiCE vs Kobaryo,FUTURE,10+,10.7,240,0,夜浪 vs Nitro,Clear THE ULTIMACY [FTR],images/.webp,REKKA_RESONANCE
Sheriruth (Laur Remix),Memory Archive,Laur,FUTURE,10,10.5,200,1,東星※恣意,None,images/.webp,Sheriruth_Laur_Remix
Evening in Scarlet,Memory Archive,Freezer feat.妃苺,FUTURE,9,9.5,170,1,Nitroだー！,None,images/.webp,Evening_in_Scarlet
goldenslaughterer,Memory Archive,zts,FUTURE,9+,9.7,133,1,Exschwasion,None,images/.webp,Goldenslaughterer
lastendconductor,Memory Archive,zts,FUTURE,9,9.4,139,1,Nitro,None,images/.webp,Lastendconductor
lastendconductor,Memory Archive,zts,BEYOND,10,10.2,139,1,Toaster,World Mode L-14,images/.webp,Lastendconductor
Redolent Shape,Memory Archive,Sanaas,FUTURE,10,10.2,150,1,絶滅,None,images/.webp,Redolent_Shape
Summer Fireworks of Love,Memory Archive,karatoPαnchii feat. はるの,FUTURE,9+,9.9,160,0,夏のNitro,None,images/.webp,Summer_Fireworks_of_Love
init(),Memory Archive,kamome sano,FUTURE,9+,9.8,180,1,Toaster,None,images/.webp,Init29
INTERNET OVERDOSE,Memory Archive,Aiobahn feat. KOTOKO,FUTURE,8,8.4,163,0,Nitro Ch.,None,images/.webp,INTERNET_OVERDOSE
Macrocosmic Modulation,Memory Archive,JAKAZiD,FUTURE,9+,9.8,170,0,Exschwas↕on,None,images/.webp,Macrocosmic_Modulation
Kissing Lucifer,Memory Archive,ETIA.,FUTURE,10,10.4,170,1,NITRO,None,images/.webp,Kissing_Lucifer
NEO WINGS,Memory Archive,SOUND HOLIC feat. Nana Takahashi,FUTURE,10,10.2,168,1,Toaster,None,images/.webp,NEO_WINGS
